344	1840
345	1033
346	1076
347	1194
340	936
341	1809
342	1318
343	1270
348	1249
349	1819
298	1399
299	987
296	1083
297	858
294	1186
295	1313
292	1634
293	1002
290	1608
291	1061
199	725
198	1399
195	1590
194	1465
197	1339
196	1005
191	748
190	154
193	1224
192	1521
270	363
271	1473
272	316
273	681
274	1283
275	1268
276	1133
277	1795
278	1119
279	1538
108	554
109	1181
102	1140
103	1677
100	1503
101	1623
106	1318
107	679
104	2012
105	513
39	793
38	1693
33	1255
32	1131
31	547
30	682
37	902
36	1090
35	1463
34	1863
339	1135
338	1911
335	1363
334	1655
337	1021
336	1269
331	814
330	830
333	752
332	1218
6	390
99	1316
98	978
91	588
90	258
93	1133
92	1849
95	1145
94	1424
97	992
96	1477
238	994
239	1532
234	1894
235	641
236	812
237	1677
230	484
231	399
232	1585
233	1739
1	521
146	715
147	431
144	965
145	1195
142	1001
143	912
140	575
141	620
148	1188
149	1914
133	1057
132	938
131	715
130	565
137	1317
136	771
135	1717
134	2036
139	1204
138	1991
24	520
25	1431
26	1028
27	915
20	1229
21	1894
22	1362
23	411
28	1052
29	871
88	1158
89	1844
82	1204
181	381
80	969
81	1153
86	923
87	670
84	1240
85	574
7	1118
245	1245
244	1263
247	780
246	571
241	654
240	914
243	562
242	1084
249	858
248	960
179	1024
178	818
177	960
176	1464
175	1111
174	870
173	1137
172	1440
171	1626
170	1623
182	802
183	1589
180	521
2	1040
186	1193
187	1050
184	959
185	595
188	1126
189	853
11	1998
10	824
13	1106
12	1544
15	1753
14	332
17	766
16	1046
19	852
18	1458
62	951
322	1681
323	1488
320	949
321	444
326	2044
327	1876
324	1682
325	1445
328	1793
329	562
201	490
200	645
203	679
202	745
205	1035
204	2065
207	541
206	921
209	491
208	1209
77	802
76	1019
75	1954
74	797
73	695
72	878
71	1092
70	1081
79	1156
78	866
8	676
120	1602
121	1563
122	651
123	1665
124	1075
125	1206
126	1664
127	1888
128	1211
129	1086
319	803
318	1237
313	1130
312	1611
311	1217
310	1180
317	1681
316	674
315	1357
314	1780
3	1425
252	1072
60	1782
61	1400
258	656
63	862
64	693
65	676
66	1461
67	1680
68	936
69	348
250	1404
251	1066
256	552
257	717
254	585
255	721
168	1847
169	1727
164	1471
165	1042
166	1823
167	963
160	1753
161	1219
162	356
163	511
9	636
351	799
350	1394
216	1564
217	1599
214	1409
215	1271
212	498
213	1899
210	1321
211	1721
218	1738
219	1251
289	1555
288	880
4	1576
281	1106
280	607
283	1096
282	1706
285	1419
284	1706
287	995
286	1548
263	1882
262	529
261	1102
260	1103
267	827
266	1222
265	1784
264	913
269	597
268	601
59	686
58	387
55	1437
54	1607
57	1507
56	1053
51	1102
50	741
53	696
52	1428
259	1806
115	727
114	1545
117	967
116	396
111	893
110	1185
113	793
253	1062
119	869
118	503
308	888
309	859
300	1151
301	1112
302	1286
303	776
304	961
305	1537
306	1923
307	1188
229	666
228	804
227	1659
226	941
225	1493
224	933
223	847
222	1226
221	2003
220	1001
151	788
150	1050
153	1355
152	1171
155	452
154	586
157	605
156	751
159	1216
158	1709
112	1214
83	1389
48	691
49	1660
46	308
47	1830
44	954
45	1202
42	351
43	608
40	917
41	432
5	228
